exchange,prem_under_1km,prem_1_3km,prem_over_3km,oslaua,oscty,gor,code,geotype_name,geotype_number,av_spd_per_prem
EABEL,2380,7139,2380,E07000200,E10000029,E12000006,42,"Above 10,000 (b)",7,30
EABIS,3414,10243,3414,E07000242,E10000015,E12000006,26,"Above 10,000 (b)",7,30
EABSE,3921,11764,3921,E07000204,E10000029,E12000006,42,"Above 10,000 (b)",7,30
EACHU,3228,9684,3228,E07000072,E10000012,E12000006,22,"Above 10,000 (b)",7,30
EACOS,2588,7765,2588,E07000149,E10000020,E12000006,33,"Above 10,000 (b)",7,30
EAGBD,2217,6652,2217,E07000070,E10000012,E12000006,22,"Above 10,000 (b)",7,30
EAGYT,2584,7752,2584,E07000145,E10000020,E12000006,33,"Above 10,000 (b)",7,30
EAHAV,2498,7493,2498,E07000012,E10000003,E12000006,12,"Above 10,000 (b)",7,30
EAHTF,2755,8264,2755,E07000242,E10000015,E12000006,26,"Above 10,000 (b)",7,30
EAIPS,3094,9283,3094,E07000200,E10000029,E12000006,42,"Above 10,000 (b)",7,30
EALAI,3357,10072,3357,E07000066,E10000012,E12000006,22,"Above 10,000 (b)",7,30
EANCW,3397,10192,3397,E07000149,E10000020,E12000006,33,"Above 10,000 (b)",7,30
EASBF,2616,7847,2616,E07000066,E10000012,E12000006,22,"Above 10,000 (b)",7,30
EASTF,3008,9025,3008,E06000034,E99999999,E12000006,00KG,"Above 10,000 (b)",7,30
EASUD,2747,8241,2747,E07000067,E10000012,E12000006,22,"Above 10,000 (b)",7,30
EATHE,2347,7042,2347,E07000204,E10000029,E12000006,42,"Above 10,000 (b)",7,30
EATHP,2391,7172,2391,E07000149,E10000020,E12000006,33,"Above 10,000 (b)",7,30
EAWAR,2158,6475,2158,E07000242,E10000015,E12000006,26,"Above 10,000 (b)",7,30
EMALVAS,3066,9197,3066,E07000039,E10000007,E12000004,17,"Above 10,000 (b)",7,30
EMBELGR,3172,9515,3172,E07000130,E10000018,E12000004,31,"Above 10,000 (b)",7,30
EMBOSTO,3936,11807,3936,E07000137,E10000019,E12000004,32,"Above 10,000 (b)",7,30
EMCOALV,3255,9765,3255,E07000134,E10000018,E12000004,31,"Above 10,000 (b)",7,30
EMCRRBY,3336,10009,3336,E07000152,E10000021,E12000004,34,"Above 10,000 (b)",7,30
EMDAVEN,2440,7321,2440,E07000221,E10000031,E12000005,44,"Above 10,000 (b)",7,30
EMFAZEL,3573,10719,3573,E07000218,E10000031,E12000005,44,"Above 10,000 (b)",7,30
EMGRETO,2235,6706,2235,E07000150,E10000021,E12000004,34,"Above 10,000 (b)",7,30
EMHARDI,3641,10924,3641,E07000155,E10000021,E12000004,34,"Above 10,000 (b)",7,30
EMHARRO,2891,8672,2891,E07000156,E10000021,E12000004,34,"Above 10,000 (b)",7,30
EMHNDON,3246,9739,3246,E07000011,E10000003,E12000006,12,"Above 10,000 (b)",7,30
EMHUCKN,3438,10314,3438,E07000170,E10000024,E12000004,37,"Above 10,000 (b)",7,30
EMKIRKB,2551,7654,2551,E07000170,E10000024,E12000004,37,"Above 10,000 (b)",7,30
EMMAARC,2120,6360,2120,E07000010,E10000003,E12000006,12,"Above 10,000 (b)",7,30
EMMICKL,2708,8123,2708,E07000039,E10000007,E12000004,17,"Above 10,000 (b)",7,30
EMORTON,2569,7706,2569,E07000011,E10000003,E12000006,12,"Above 10,000 (b)",7,30
EMPINXT,2201,6604,2201,E07000170,E10000024,E12000004,37,"Above 10,000 (b)",7,30
EMSKGNS,2118,6354,2118,E07000137,E10000019,E12000004,32,"Above 10,000 (b)",7,30
EMSTBBS,3393,10179,3393,E07000130,E10000018,E12000004,31,"Above 10,000 (b)",7,30
EMSTIVE,2688,8065,2688,E07000012,E10000003,E12000006,12,"Above 10,000 (b)",7,30
EMSWADL,3999,11998,3999,E07000134,E10000018,E12000004,31,"Above 10,000 (b)",7,30
EMTHRNB,2840,8521,2840,E07000131,E10000018,E12000004,31,"Above 10,000 (b)",7,30
EMTMWOR,3556,10667,3556,E07000194,E10000028,E12000005,41,"Above 10,000 (b)",7,30
EMWELLI,2169,6508,2169,E07000156,E10000021,E12000004,34,"Above 10,000 (b)",7,30
EMWERRI,2957,8870,2957,E06000031,E99999999,E12000006,00JA,"Above 10,000 (b)",7,30
EMWILLO,2741,8222,2741,E07000039,E10000007,E12000004,17,"Above 10,000 (b)",7,30
EMWSBCH,2771,8312,2771,E07000146,E10000020,E12000006,33,"Above 10,000 (b)",7,30
ESALL,2563,7688,2563,S12000014,S99999999,S99999999,00QQ,"Above 10,000 (b)",7,30
ESBAT,2623,7869,2623,S12000040,S99999999,S99999999,00RH,"Above 10,000 (b)",7,30
ESCLA,2289,6866,2289,S12000041,S99999999,S99999999,00QC,"Above 10,000 (b)",7,30
ESFAI,2697,8092,2697,S12000041,S99999999,S99999999,00QC,"Above 10,000 (b)",7,30
ESLAR,2997,8991,2997,S12000014,S99999999,S99999999,00QQ,"Above 10,000 (b)",7,30
ESLVS,2247,6741,2247,S12000040,S99999999,S99999999,00RH,"Above 10,000 (b)",7,30
ESPOL,2076,6227,2076,S12000014,S99999999,S99999999,00QQ,"Above 10,000 (b)",7,30
LCAIM,3347,10041,3347,E08000010,E99999999,E12000002,00BW,"Above 10,000 (b)",7,30
LCBIR,2207,6621,2207,E07000127,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCCHU,3078,9233,3078,E07000127,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCCOL,2379,7138,2379,E07000117,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCDAR,3267,9802,3267,E06000008,E99999999,E12000002,00EX,"Above 10,000 (b)",7,30
LCFLW,2459,7376,2459,E07000128,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCKEN,3095,9284,3095,E07000031,E10000006,E12000002,16,"Above 10,000 (b)",7,30
LCLIT,2220,6661,2220,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
LCPAD,2113,6338,2113,E07000120,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCROS,3782,11347,3782,E07000125,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCSOU,2602,7806,2602,E07000127,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LCWOR,2646,7938,2646,E07000026,E10000006,E12000002,16,"Above 10,000 (b)",7,30
LNHAT,3554,10663,3554,E07000240,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LNHOD,2661,7983,2661,E07000242,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LNLOU,3003,9010,3003,E07000072,E10000012,E12000006,22,"Above 10,000 (b)",7,30
LNPOT,2609,7827,2609,E07000098,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LNUPM,2148,6445,2148,E07000068,E10000012,E12000006,22,"Above 10,000 (b)",7,30
LSBYF,2862,8585,2862,E07000209,E10000030,E12000008,43,"Above 10,000 (b)",7,30
LSCRAY,2678,8035,2678,E09000004,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSCTHM,2125,6374,2125,E09000008,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSEPSM,2802,8405,2802,E07000211,E10000030,E12000008,43,"Above 10,000 (b)",7,30
LSEWE,2293,6880,2293,E09000029,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSFARB,2437,7310,2437,E09000006,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSREI,2296,6889,2296,E07000211,E10000030,E12000008,43,"Above 10,000 (b)",7,30
LSSAN,2745,8234,2745,E09000008,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSSLA,2778,8334,2778,E09000004,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSSWA,2131,6394,2131,E09000006,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LSWIM,3323,9970,3323,E09000024,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LVELL,2551,7654,2551,E06000050,E99999999,E12000002,00EW,"Above 10,000 (b)",7,30
LVHOO,3062,9186,3062,E06000050,E99999999,E12000002,00EW,"Above 10,000 (b)",7,30
LVMSX,3383,10150,3383,E06000006,E99999999,E12000002,00ET,"Above 10,000 (b)",7,30
LVRNE,2415,7244,2415,E06000050,E99999999,E12000002,00EW,"Above 10,000 (b)",7,30
LVSKE,2838,8513,2838,E07000127,E10000017,E12000002,30,"Above 10,000 (b)",7,30
LVSTK,3368,10105,3368,E06000007,E99999999,E12000002,00EU,"Above 10,000 (b)",7,30
LVWAT,3978,11934,3978,E08000014,E99999999,E12000002,00CA,"Above 10,000 (b)",7,30
LWACT,3904,11712,3904,E09000005,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWASF,3652,10956,3652,E09000017,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWELS,3342,10027,3342,E07000098,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LWHARL,3165,9495,3165,E09000005,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWHAT,3338,10015,3338,E07000102,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LWISL,3264,9791,3264,E09000009,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWKNE,3232,9696,3232,E09000027,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWMIL,2666,7999,2666,E09000003,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
LWRIC,2372,7117,2372,E07000102,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LWSTAI,2380,7141,2380,E07000212,E10000030,E12000008,43,"Above 10,000 (b)",7,30
LWSTAN,2497,7492,2497,E07000098,E10000015,E12000006,26,"Above 10,000 (b)",7,30
LWWDRA,3411,10234,3411,E09000017,E99999999,E12000007,00London,"Above 10,000 (b)",7,30
MRALT,3380,10139,3380,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
MRBUX,2246,6737,2246,E07000198,E10000028,E12000005,41,"Above 10,000 (b)",7,30
MRGLO,2342,7025,2342,E07000037,E10000007,E12000004,17,"Above 10,000 (b)",7,30
MRHAR,2554,7663,2554,E06000050,E99999999,E12000002,00EW,"Above 10,000 (b)",7,30
MRHUL,2300,6901,2300,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
MRMOT,2097,6292,2097,E07000037,E10000007,E12000004,17,"Above 10,000 (b)",7,30
MRRIN,3205,9616,3205,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
MRWIL,2590,7771,2590,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
MYACO,3334,10001,3334,E06000014,E99999999,E12000003,00FF,"Above 10,000 (b)",7,30
MYBIN,2666,7997,2666,E08000032,E99999999,E12000003,00CX,"Above 10,000 (b)",7,30
MYBNN,3716,11149,3716,E06000011,E99999999,E12000003,00FB,"Above 10,000 (b)",7,30
MYBRG,2727,8182,2727,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
MYCLE,2701,8104,2701,E08000034,E99999999,E12000003,00CZ,"Above 10,000 (b)",7,30
MYCTN,2465,7396,2465,E06000014,E99999999,E12000003,00FF,"Above 10,000 (b)",7,30
MYDHS,2272,6815,2272,E07000169,E10000023,E12000003,36,"Above 10,000 (b)",7,30
MYDUD,2071,6212,2071,E08000032,E99999999,E12000003,00CX,"Above 10,000 (b)",7,30
MYGUI,2051,6153,2051,E08000032,E99999999,E12000003,00CX,"Above 10,000 (b)",7,30
MYHAX,2154,6463,2154,E06000014,E99999999,E12000003,00FF,"Above 10,000 (b)",7,30
MYHMW,2181,6544,2181,E08000036,E99999999,E12000003,00DB,"Above 10,000 (b)",7,30
MYKEY,2601,7804,2601,E06000011,E99999999,E12000003,00FB,"Above 10,000 (b)",7,30
MYLOW,3504,10511,3504,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
MYMIR,2751,8254,2751,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
MYQUE,3160,9479,3160,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
MYSEM,2362,7085,2362,E08000017,E99999999,E12000003,00CE,"Above 10,000 (b)",7,30
MYSHI,3868,11605,3868,E08000032,E99999999,E12000003,00CX,"Above 10,000 (b)",7,30
MYSOW,2025,6074,2025,E08000033,E99999999,E12000003,00CY,"Above 10,000 (b)",7,30
NDCAS,2164,6493,2164,E07000064,E10000011,E12000008,21,"Above 10,000 (b)",7,30
NDEGR,2526,7578,2526,E07000228,E10000032,E12000008,45,"Above 10,000 (b)",7,30
NDFOL,3018,9054,3018,E07000108,E10000016,E12000008,29,"Above 10,000 (b)",7,30
NDHBA,3380,10141,3380,E07000106,E10000016,E12000008,29,"Above 10,000 (b)",7,30
NDTHA,3541,10622,3541,E07000114,E10000016,E12000008,29,"Above 10,000 (b)",7,30
NEAYC,2688,8063,2688,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEBA,2321,6964,2321,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEBH,3743,11229,3743,E06000057,E99999999,E12000001,00EM,"Above 10,000 (b)",7,30
NEBR,2782,8347,2782,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NECN,3444,10331,3444,E06000057,E99999999,E12000001,00EM,"Above 10,000 (b)",7,30
NECT,2641,7922,2641,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEDU,3158,9474,3158,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEEHN,3087,9262,3087,E08000024,E99999999,E12000001,00CM,"Above 10,000 (b)",7,30
NEFN,2220,6661,2220,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEGM,2128,6385,2128,E06000001,E99999999,E12000001,00EB,"Above 10,000 (b)",7,30
NEHLS,2089,6266,2089,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEHT,2083,6249,2083,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEHYL,2744,8233,2744,E08000024,E99999999,E12000001,00CM,"Above 10,000 (b)",7,30
NEKI,2956,8869,2956,E06000057,E99999999,E12000001,00EM,"Above 10,000 (b)",7,30
NELF,3676,11028,3676,E08000024,E99999999,E12000001,00CM,"Above 10,000 (b)",7,30
NEPTE,3160,9481,3160,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NERT,2023,6070,2023,E06000057,E99999999,E12000001,00EM,"Above 10,000 (b)",7,30
NESP,2058,6173,2058,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NESTN,2470,7410,2470,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NEWHP,2026,6079,2026,E08000021,E99999999,E12000001,00CJ,"Above 10,000 (b)",7,30
NEWV,2520,7561,2520,E06000047,E99999999,E12000001,00EJ,"Above 10,000 (b)",7,30
NSPET,2079,6238,2079,S12000034,S99999999,S99999999,00QB,"Above 10,000 (b)",7,30
SDBRGSS,2813,8438,2813,E07000063,E10000011,E12000008,21,"Above 10,000 (b)",7,30
SDCHCHS,3893,11678,3893,E07000225,E10000032,E12000008,45,"Above 10,000 (b)",7,30
SDCWS,2405,7214,2405,E06000046,E99999999,E12000008,00MW,"Above 10,000 (b)",7,30
SDFRHM,3685,11056,3685,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
SDHLSHM,2231,6693,2231,E07000065,E10000011,E12000008,21,"Above 10,000 (b)",7,30
SDHRLY,2405,7216,2405,E07000211,E10000030,E12000008,43,"Above 10,000 (b)",7,30
SDHRNDN,2472,7415,2472,E07000085,E10000014,E12000008,24,"Above 10,000 (b)",7,30
SDHYWRD,2782,8347,2782,E07000063,E10000011,E12000008,21,"Above 10,000 (b)",7,30
SDRSTNG,2414,7243,2414,E07000224,E10000032,E12000008,45,"Above 10,000 (b)",7,30
SDWTRLV,3981,11944,3981,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
SLCBR,2218,6653,2218,E08000017,E99999999,E12000003,00CE,"Above 10,000 (b)",7,30
SLCLY,2991,8972,2991,E08000017,E99999999,E12000003,00CE,"Above 10,000 (b)",7,30
SLCUD,2223,6668,2223,E08000036,E99999999,E12000003,00DB,"Above 10,000 (b)",7,30
SLHLY,2394,7183,2394,E07000035,E10000007,E12000004,17,"Above 10,000 (b)",7,30
SLMOS,2989,8968,2989,E07000038,E10000007,E12000004,17,"Above 10,000 (b)",7,30
SLOLD,2764,8292,2764,E07000038,E10000007,E12000004,17,"Above 10,000 (b)",7,30
SLRF,2553,7660,2553,E07000171,E10000024,E12000004,37,"Above 10,000 (b)",7,30
SMAI,3299,9896,3299,E07000180,E10000025,E12000008,38,"Above 10,000 (b)",7,30
SMBK,2087,6262,2087,E07000096,E10000015,E12000006,26,"Above 10,000 (b)",7,30
SMBT,2963,8888,2963,E07000004,E10000002,E12000008,11,"Above 10,000 (b)",7,30
SMCSH,2165,6496,2165,E07000005,E10000002,E12000008,11,"Above 10,000 (b)",7,30
SMDB,3408,10223,3408,E06000056,E99999999,E12000006,00KC,"Above 10,000 (b)",7,30
SMDC,2666,7997,2666,E07000180,E10000025,E12000008,38,"Above 10,000 (b)",7,30
SMHR,2541,7622,2541,E07000240,E10000015,E12000006,26,"Above 10,000 (b)",7,30
SMHUR,2928,8783,2928,E06000056,E99999999,E12000006,00KC,"Above 10,000 (b)",7,30
SMKT,2445,7334,2445,E06000055,E99999999,E12000006,00KB,"Above 10,000 (b)",7,30
SMLH,3143,9430,3143,E06000056,E99999999,E12000006,00KC,"Above 10,000 (b)",7,30
SMNP,2311,6932,2311,E06000042,E99999999,E12000008,00MG,"Above 10,000 (b)",7,30
SMSM,2138,6413,2138,E07000177,E10000025,E12000008,38,"Above 10,000 (b)",7,30
SMWI,2817,8451,2817,E07000181,E10000025,E12000008,38,"Above 10,000 (b)",7,30
SMWV,3500,10501,3500,E07000155,E10000021,E12000004,34,"Above 10,000 (b)",7,30
SSBIS,3117,9350,3117,E06000022,E99999999,E12000009,00HA,"Above 10,000 (b)",7,30
SSHWK,3325,9974,3325,E07000082,E10000013,E12000009,23,"Above 10,000 (b)",7,30
SSHYW,2924,8772,2924,E06000054,E99999999,E12000009,00HY,"Above 10,000 (b)",7,30
SSMEL,2152,6455,2152,E06000054,E99999999,E12000009,00HY,"Above 10,000 (b)",7,30
SSSTD,3749,11248,3749,E07000082,E10000013,E12000009,23,"Above 10,000 (b)",7,30
SSTHL,2403,7209,2403,E06000054,E99999999,E12000009,00HY,"Above 10,000 (b)",7,30
SSWOR,3542,10626,3542,E06000024,E99999999,E12000009,00HC,"Above 10,000 (b)",7,30
SSWSM,3521,10564,3521,E06000024,E99999999,E12000009,00HC,"Above 10,000 (b)",7,30
STCFORD,2976,8927,2976,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
STEASTL,2784,8352,2784,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
STLOCKH,3499,10498,3499,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
STSOTON,3630,10890,3630,E07000091,E10000014,E12000008,24,"Above 10,000 (b)",7,30
STWINCH,3365,10096,3365,E07000094,E10000014,E12000008,24,"Above 10,000 (b)",7,30
SWAA,2840,8519,2840,W06000016,W99999999,W99999999,00PF,"Above 10,000 (b)",7,30
SWBIG,2713,8138,2713,W06000018,W99999999,W99999999,00PK,"Above 10,000 (b)",7,30
SWLJ,3556,10669,3556,W06000010,W99999999,W99999999,00NU,"Above 10,000 (b)",7,30
SWMDE,3105,9316,3105,W06000022,W99999999,W99999999,00PR,"Above 10,000 (b)",7,30
SWMT/EX,3810,11429,3810,W06000024,W99999999,W99999999,00PH,"Above 10,000 (b)",7,30
SWPP,2044,6131,2044,W06000021,W99999999,W99999999,00PP,"Above 10,000 (b)",7,30
SWTDU,2501,7503,2501,W06000016,W99999999,W99999999,00PF,"Above 10,000 (b)",7,30
SWTFA,2015,6044,2015,W06000016,W99999999,W99999999,00PF,"Above 10,000 (b)",7,30
THBEN,2013,6038,2013,E06000040,E99999999,E12000008,00ME,"Above 10,000 (b)",7,30
THCV,3193,9579,3193,E07000179,E10000025,E12000008,38,"Above 10,000 (b)",7,30
THDK,2007,6020,2007,E07000210,E10000030,E12000008,43,"Above 10,000 (b)",7,30
THFJ,2716,8147,2716,E07000216,E10000030,E12000008,43,"Above 10,000 (b)",7,30
THGG,2401,7204,2401,E07000209,E10000030,E12000008,43,"Above 10,000 (b)",7,30
THNU,3886,11658,3886,E07000084,E10000014,E12000008,24,"Above 10,000 (b)",7,30
THSL/UD,3952,11856,3952,E06000040,E99999999,E12000008,00ME,"Above 10,000 (b)",7,30
THT,2418,7253,2418,E06000037,E99999999,E12000008,00MB,"Above 10,000 (b)",7,30
THWM,3698,11094,3698,E06000036,E99999999,E12000008,00MA,"Above 10,000 (b)",7,30
WMBID,2103,6308,2103,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
WMBLY,2198,6593,2198,E07000198,E10000028,E12000005,41,"Above 10,000 (b)",7,30
WMEV,2499,7498,2499,E07000238,E10000034,E12000005,47,"Above 10,000 (b)",7,30
WMHX,2481,7443,2481,E07000234,E10000034,E12000005,47,"Above 10,000 (b)",7,30
WMIPS,2367,7102,2367,E07000234,E10000034,E12000005,47,"Above 10,000 (b)",7,30
WMMAL,2726,8177,2726,E07000235,E10000034,E12000005,47,"Above 10,000 (b)",7,30
WMRUG,2316,6949,2316,E07000194,E10000028,E12000005,41,"Above 10,000 (b)",7,30
WMSBH,2022,6067,2022,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
WMSTP,2131,6394,2131,E07000238,E10000034,E12000005,47,"Above 10,000 (b)",7,30
WMWLN,2055,6164,2055,E06000049,E99999999,E12000002,00EQ,"Above 10,000 (b)",7,30
WNBUC,2000,6001,2000,W06000005,W99999999,W99999999,00NJ,"Above 10,000 (b)",7,30
WNOAK,2421,7264,2421,E06000020,E99999999,E12000005,00GF,"Above 10,000 (b)",7,30
WNWXN,2368,7103,2368,W06000005,W99999999,W99999999,00NJ,"Above 10,000 (b)",7,30
WSALE,2422,7265,2422,S12000035,S99999999,S99999999,00QD,"Above 10,000 (b)",7,30
WSARD,3184,9552,3184,S12000021,S99999999,S99999999,00QY,"Above 10,000 (b)",7,30
WSAYR,3389,10166,3389,S12000028,S99999999,S99999999,00RE,"Above 10,000 (b)",7,30
WSBAI,3076,9229,3076,S12000029,S99999999,S99999999,00RF,"Above 10,000 (b)",7,30
WSBEH,2283,6850,2283,S12000044,S99999999,S99999999,00QZ,"Above 10,000 (b)",7,30
WSBIS,2843,8529,2843,S12000044,S99999999,S99999999,00QZ,"Above 10,000 (b)",7,30
WSBRE,2019,6057,2019,S12000038,S99999999,S99999999,00RC,"Above 10,000 (b)",7,30
WSCAM,3230,9689,3230,S12000029,S99999999,S99999999,00RF,"Above 10,000 (b)",7,30
WSCOA,3641,10922,3641,S12000044,S99999999,S99999999,00QZ,"Above 10,000 (b)",7,30
WSGOU,2150,6451,2150,S12000018,S99999999,S99999999,00QU,"Above 10,000 (b)",7,30
WSKIR,2915,8744,2915,S12000044,S99999999,S99999999,00QZ,"Above 10,000 (b)",7,30
WSMOT,2742,8226,2742,S12000029,S99999999,S99999999,00RF,"Above 10,000 (b)",7,30
WSWIS,2455,7366,2455,S12000029,S99999999,S99999999,00RF,"Above 10,000 (b)",7,30
WWBURN,2361,7082,2361,E07000188,E10000027,E12000009,40,"Above 10,000 (b)",7,30
WWDPRT,3710,11130,3710,E06000052,E99999999,E12000009,00HE,"Above 10,000 (b)",7,30
WWPAIG,3925,11774,3925,E07000044,E10000008,E12000009,18,"Above 10,000 (b)",7,30
WWSBUD,2690,8071,2690,E07000047,E10000008,E12000009,18,"Above 10,000 (b)",7,30
WWSMAR,2486,7459,2486,E07000045,E10000008,E12000009,18,"Above 10,000 (b)",7,30
WWTIVE,2053,6159,2053,E07000042,E10000008,E12000009,18,"Above 10,000 (b)",7,30
CMALC,841,2524,841,E07000221,E10000031,E12000005,44,"Above 3,000 (a)",8,30
CMBRI,1446,4338,1446,E06000051,E99999999,E12000005,00GG,"Above 3,000 (a)",8,30
CMCEN,1170,3509,1170,E08000025,E99999999,E12000005,00CN,"Above 3,000 (a)",8,30
CMEARL,985,2954,985,E08000029,E99999999,E12000005,00CT,"Above 3,000 (a)",8,30
CMEDG,1852,5556,1852,E08000025,E99999999,E12000005,00CN,"Above 3,000 (a)",8,30
CMREC,1539,4618,1539,E08000025,E99999999,E12000005,00CN,"Above 3,000 (a)",8,30
CMSMBK,607,1821,607,E08000025,E99999999,E12000005,00CN,"Above 3,000 (a)",8,30
CMWV,1364,4091,1364,E08000031,E99999999,E12000005,00CW,"Above 3,000 (a)",8,30
EABEC,1464,4393,1464,E07000206,E10000029,E12000006,42,"Above 3,000 (a)",8,30
EABGY,789,2368,789,E07000206,E10000029,E12000006,42,"Above 3,000 (a)",8,30
EABLA,729,2187,729,E07000072,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EABND,1117,3350,1117,E07000201,E10000029,E12000006,42,"Above 3,000 (a)",8,30
EABWL,664,1992,664,E07000009,E10000003,E12000006,12,"Above 3,000 (a)",8,30
EAEPP,1238,3713,1238,E07000072,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EAFME,692,2077,692,E07000149,E10000020,E12000006,33,"Above 3,000 (a)",8,30
EAGDM,1016,3047,1016,E07000077,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EAHEA,837,2510,837,E07000146,E10000020,E12000006,33,"Above 3,000 (a)",8,30
EAHWH,1714,5143,1714,E07000076,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EAKSL,1300,3899,1300,E07000206,E10000029,E12000006,42,"Above 3,000 (a)",8,30
EALPT,761,2283,761,E07000009,E10000003,E12000006,12,"Above 3,000 (a)",8,30
EAONG,705,2115,705,E07000072,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EARST,1713,5140,1713,E07000099,E10000015,E12000006,26,"Above 3,000 (a)",8,30
EASAF,1639,4916,1639,E07000077,E10000012,E12000006,22,"Above 3,000 (a)",8,30
EAWDB,1368,4103,1368,E07000205,E10000029,E12000006,42,"Above 3,000 (a)",8,30
EMBIRSS,1902,5707,1902,E07000130,E10000018,E12000004,31,"Above 3,000 (a)",8,30
EMCHAPE,1374,4122,1374,E07000151,E10000021,E12000004,34,"Above 3,000 (a)",8,30
EMOAKHA,1422,4267,1422,E06000017,E99999999,E12000004,00FP,"Above 3,000 (a)",8,30
EMOUNDL,647,1942,647,E07000152,E10000021,E12000004,34,"Above 3,000 (a)",8,30
EMRADCL,809,2428,809,E07000176,E10000024,E12000004,37,"Above 3,000 (a)",8,30
EMRMSEY,900,2700,900,E07000011,E10000003,E12000006,12,"Above 3,000 (a)",8,30
EMTOWCE,1052,3157,1052,E07000155,E10000021,E12000004,34,"Above 3,000 (a)",8,30
ESAXE,1300,3900,1300,S12000042,S99999999,S99999999,00QJ,"Above 3,000 (a)",8,30
ESBAN,1987,5960,1987,S12000030,S99999999,S99999999,00RG,"Above 3,000 (a)",8,30
ESBAX,1486,4458,1486,S12000042,S99999999,S99999999,00QJ,"Above 3,000 (a)",8,30
ESBLR,985,2956,985,S12000024,S99999999,S99999999,00RB,"Above 3,000 (a)",8,30
ESBRE,875,2624,875,S12000041,S99999999,S99999999,00QC,"Above 3,000 (a)",8,30
ESCRF,830,2490,830,S12000024,S99999999,S99999999,00RB,"Above 3,000 (a)",8,30
ESCTN,916,2749,916,S12000036,S99999999,S99999999,00QP,"Above 3,000 (a)",8,30
ESCUP,1089,3266,1089,S12000015,S99999999,S99999999,00QR,"Above 3,000 (a)",8,30
ESDUN,839,2518,839,S12000030,S99999999,S99999999,00RG,"Above 3,000 (a)",8,30
